Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Acquirer_GHG_Emissions,Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Deal Status
17-03-2022,2021,TRGP,Targa Resources Corp,7006559.46,506.7453,Brown,Southcross Energy Operating LLC,Neutral,,200,04-03-2022,65.17,28-03-2022,70.02,13826.59,1.54,Completed
15-03-2022,2021,ENPH,Enphase Energy Inc,12095.16,0.5546,Green,SolarLeadFactory LLC,Green,,,04-03-2022,158.15,25-03-2022,193.81,21810.03,1.91,Completed
08-03-2022,2021,SND,Smart Sand Inc,11663.01,64.701,Brown,Hi-Crush Blair LLC,Neutral,Hi-Crush Inc,6.5,25-02-2022,3.07,18-03-2022,3.21,180.26,-0.03,Completed
07-03-2022,2021,CHRD,Chord Energy Corp,1457753.14,228.1554,Brown,Whiting Petroleum Corp,Brown,,3247,24-02-2022,88.46,17-03-2022,106.08,6389.3,1.62,Completed
03-03-2022,2021,ALE,ALLETE Inc,1733893.46,535.3754,Brown,NEW Energy Equity LLC,Neutral,"Unknown Seller,SmartPitch Ventures LLC",165.5,18-02-2022,53.51,14-03-2022,57.03,3238.65,0.75,Completed
28-02-2022,2021,CVX,Chevron Corp,28582001.82,126.6917,Brown,Renewable Energy Group Inc,Green,,2769.66,17-02-2022,118.89,10-03-2022,152.01,225602.78,1.26,Completed
25-02-2022,2021,NVAX,NOV Inc,6696.68,0.51,Green,Advanced Drilling Solutions business/AFG Holdings Inc,Neutral,AFG Holdings Inc,,14-02-2022,80.11,07-03-2022,69.73,13129.7,-7.08,Completed
23-02-2022,2021,BEEM,Beam Global,290.07,1.6767,Green,AllCell Technologies LLC,Neutral,,13.67,11-02-2022,13.21,07-03-2022,14.65,173,1.93,Completed
22-02-2022,2021,MTDR,Matador Resources Co,774427,148.3352,Brown,Producing & non-producing properties,Neutral,,242,11-02-2022,42.69,04-03-2022,51.64,5220.79,1.98,Completed
16-02-2022,2021,HNRG,Hallador Energy Co,650443.26,4696.0022,Brown,Merom generating station/Indiana,Neutral,Hoosier Energy Rural Electric Cooperative Inc,,04-02-2022,2.45,28-02-2022,3.43,138.51,0.27,Completed
09-02-2022,2021,EPM,Evolution Petroleum Corp,18081.28,113.0009,Brown,Non-operated oil & natural gas assets/Sublette County,Brown,Exaro Energy III LLC,26.2,28-01-2022,4.5,22-02-2022,5.73,160.01,-1.14,Completed
01-02-2022,2021,CIVI,Civitas Resources Inc,1278400,333.5046,Brown,Bison Oil & Gas II LLC,Brown,,345.42,21-01-2022,37.6,11-02-2022,39.56,3833.23,1.01,Completed
25-01-2022,2021,EXE,Expand Energy Corp,621870.78,47.542,Brown,Chief E&D Holdings LP,Neutral,"Tug Hill Inc/Texas,Rees-Jones Foundation/The,Unknown Seller,Rees-Jones Family Holdings LP,Chief E&D GP LLC,Chief E&D Participants LP",2634.47,14-01-2022,59.89,04-02-2022,56.09,13080.46,-1.43,Completed
20-01-2022,2021,EPM,Evolution Petroleum Corp,18081.28,120.2613,Brown,Non-operated oil & natural gas assets/Williston Basin,Brown,"Foundation Energy Management LLC,Unknown Seller",25.9,07-01-2022,4.32,31-01-2022,4.63,150.35,-1.14,Completed
20-01-2022,2021,HUT,Hut 8 Corp,474.19,0.1625,Green,Cloud & colocation data center business,Neutral,TeraGo Inc,24.07,07-01-2022,33.05,31-01-2022,29.7,2918.09,0.06,Completed
19-01-2022,2021,PLUG,Plug Power Inc,15963.06,0.8141,Green,Joule Processing LLC,Neutral,,30,07-01-2022,24.96,31-01-2022,21.87,19607.33,-4.47,Completed
18-01-2022,2021,ALTO,Alto Ingredients Inc,220296.78,550.6181,Brown,Eagle Alcohol Co LLC,Neutral,,14,07-01-2022,5.17,28-01-2022,4.98,400.09,-0.58,Completed
13-01-2022,2021,DUK,Duke Energy Corp,78000000,1099.2934,Brown,3211 Shannon Rd/Durham,Neutral,,,31-12-2021,92.04,24-01-2022,90,70954.67,0.65,Completed
10-01-2022,2021,EPD,Enterprise Products Partners LP,1192.82,0.0296,Green,Navitas Midstream Partners LLC,Neutral,Warburg Pincus LLC,3250,30-12-2021,17.11,20-01-2022,18.95,40265.94,1.89,Completed
04-01-2022,2021,UGI,UGI Corp,820557,97.4435,Brown,Stonehenge Appalachia LLC,Neutral,Stonehenge Energy Holdings LLC,190,23-12-2021,38.99,14-01-2022,39.64,8420.85,2.43,Completed
04-01-2022,2021,FELE,Franklin Electric Co Inc,23119.6,5.5127,Green,Blake Group Holdings Inc,Neutral,,27.1,23-12-2021,88.57,14-01-2022,87.63,4193.9,1.85,Completed
03-01-2022,2021,GRMN,Garmin Ltd,148599.64,6.2268,Green,Vesper Marine Ltd,Neutral,Pioneer Capital Partners,,23-12-2021,124.9,13-01-2022,122.73,23864.62,4.52,Completed
23-12-2021,2020,FCPT,Four Corners Property Trust Inc,2298.44,0.9514,Green,2 Express Oil Change/Mississippi,Brown,,4.6,10-12-2021,23.71,03-01-2022,24.98,2415.81,0.99,Completed
21-12-2021,2020,ENPH,Enphase Energy Inc,26385.26,1.0538,Green,365 Pronto Inc,Neutral,,,10-12-2021,215.02,31-12-2021,182.94,25037.02,1.91,Completed
17-12-2021,2020,BOOM,DMC Global Inc,1390.46,1.7801,Green,Arcadia Inc,Neutral,,282.5,06-12-2021,38.37,27-12-2021,40.62,781.13,-0.11,Completed
16-12-2021,2020,STEM,Stem Inc,1564.76,0.5285,Green,Also Energy Inc,Neutral,"Management Group,Clairvest Group Inc (Fund: Clairvest Equity Partners V LP)",695,03-12-2021,17.77,27-12-2021,19.76,2960.5,-27.57,Completed
16-12-2021,2020,ULBI,Ultralife Corp,4135.84,45.5589,Brown,Excell Battery Canada ULC,Neutral,,16.45,03-12-2021,5.11,27-12-2021,6.03,90.78,0.15,Completed
16-12-2021,2020,ULBI,Ultralife Corp,4135.84,45.5589,Brown,656700 BC Ltd,Neutral,,7.05,03-12-2021,5.11,27-12-2021,6.03,90.78,0.15,Completed
16-12-2021,2020,CPK,Chesapeake Utilities Corp,266679,87.689,Brown,Operating Assets/Diversified Energy Co,Neutral,Diversified Energy Co PLC,,03-12-2021,123.99,27-12-2021,134.78,3041.19,1.02,Completed
14-12-2021,2020,GTLS,Chart Industries Inc,17380,2.5805,Green,Earthly Labs Inc,Neutral,,62,03-12-2021,162.94,27-12-2021,159.49,6735.04,0.73,Completed
14-12-2021,2020,ULBI,Ultralife Corp,4135.84,46.9342,Brown,Excell Battery Group,Neutral,,23.5,03-12-2021,5.11,27-12-2021,6.03,88.12,0.15,Completed
14-12-2021,2020,SHEL,Shell PLC,31526463.37,276.4502,Brown,MS Europe BV,Neutral,Multi Service Technology Solutions Inc,,03-12-2021,38.75,27-12-2021,39.42,114040.31,1.09,Completed
13-12-2021,2020,WTTR,Select Water Solutions Inc,33176.65,54.8529,Brown,Nuverra Environmental Solutions Inc,Neutral,,56.34,02-12-2021,5.52,23-12-2021,5.84,604.83,-0.12,Completed
13-12-2021,2020,TXNM,TXNM Energy Inc,5602062.23,1530.3672,Brown,Western Spirit transmission line,Neutral,,,02-12-2021,40.47,23-12-2021,40.39,3660.6,1.17,Completed
09-12-2021,2020,CHX,ChampionX Corp,24884.58,5.9298,Green,"Tomson Technologies LLC,Group 2 Technologies LLC",Neutral,,,26-11-2021,19.56,20-12-2021,19.42,4196.51,2.39,Completed
07-12-2021,2020,AMRC,Ameresco Inc,315545,108.2613,Brown,Juice Technologies Inc,Neutral,,,26-11-2021,89.7,17-12-2021,77.35,2914.66,0.89,Completed
07-12-2021,2020,XOM,Exxon Mobil Corp,108000000,448.3856,Brown,Materia Inc,Neutral,,,26-11-2021,54.6,17-12-2021,53.51,240864.12,1.68,Completed
06-12-2021,2020,GIFI,Gulf Island Fabrication Inc,6908.99,104.5708,Brown,Dynamic Industries Inc,Neutral,"Riverstone Holdings LLC (Fund: Carlyle/Riverstone Global Energy & Power Fund III LP),Carlyle Group Inc/The (Fund: Carlyle MC Partners LP)",,24-11-2021,4.14,16-12-2021,3.95,66.07,1.77,Completed
02-12-2021,2020,GIFI,Gulf Island Fabrication Inc,6908.99,105.0957,Brown,Services & industrial staffing businesses/Dynamic Industries Inc,Neutral,Dynamic Group Holdings LLC,8,19-11-2021,4.02,13-12-2021,3.97,65.74,1.77,Completed
01-12-2021,2020,PHX,PHX Minerals Inc,9445.63,120.0817,Brown,172 net royalty acres/OK,Neutral,,1.38,19-11-2021,2.36,13-12-2021,2.34,78.66,0.68,Completed
30-11-2021,2020,GCMG,GCM Grosvenor Inc,173.88,0.0941,Green,Resource Waste Services LLC,Neutral,ReEnergy Holdings LLC,,19-11-2021,10.06,10-12-2021,9.14,1848.2,1.24,Completed
23-11-2021,2020,IEX,IDEX Corp,15406.34,0.8948,Green,Nexsight LLC,Neutral,,112.5,12-11-2021,225.92,03-12-2021,219.42,17217.14,1.83,Completed
17-11-2021,2020,NOG,Northern Oil and Gas Inc,155885.13,82.7429,Brown,non-operated Permian Basin assets,Neutral,Veritas Energy LLC,406.5,05-11-2021,22.48,29-11-2021,18.55,1883.97,1.28,Completed
16-11-2021,2020,OPTT,Ocean Power Technologies Inc,22,0.0742,Green,Marine Advanced Robotics Inc,Neutral,,11.12,05-11-2021,2.12,26-11-2021,1.82,296.46,-14.52,Completed
16-11-2021,2020,ENPH,Enphase Energy Inc,26385.26,0.7917,Green,ClipperCreek Inc,Neutral,,,05-11-2021,237.9,26-11-2021,247.42,33328.38,1.91,Completed
09-11-2021,2020,ADT,ADT Inc,24014.38,3.1232,Green,Marc Jones Construction LLC,Neutral,Compass Group Equity Partners LLC,824.49,29-10-2021,7.74,19-11-2021,8.34,7689.09,1.18,Completed
09-11-2021,2020,SDIG,Stronghold Digital Mining Inc,619.39,0.1487,Green,Panther Creek Energy Facility,Neutral,,,29-10-2021,274.6,19-11-2021,241.4,4165.64,-13.79,Completed
05-11-2021,2020,SHEL,Shell PLC,31526463.37,260.5594,Brown,"MSTS Payments LLC,Multi Service Fuel Card business",Neutral,Multi Service Technology Solutions Inc,,25-10-2021,43.17,15-11-2021,40.26,120995.28,1.09,Completed
03-11-2021,2020,OBE,Obsidian Energy Ltd,85831.81,307.3435,Brown,Peace River Oil Partnership,Brown,,35.04,22-10-2021,3.85,15-11-2021,3.77,279.27,-13.47,Completed
02-11-2021,2020,GNRC,Generac Holdings Inc,75778.45,2.6286,Green,ecobee Inc,Neutral,"Caisse de Depot et Placement du Quebec,Export Development Canada,Business Development Bank of Canada,Evergy Ventures Inc,Private Investor,Just Energy Group Inc,AGL Energy Ltd,Ontario Capital Growth Corp,Thomvest Ventures Inc,Tech Capital Partners Inc,Northleaf Capital Partners Ltd (Fund: Edge...",650,22-10-2021,470.32,12-11-2021,446.87,28828.14,2.52,Completed
29-10-2021,2020,WKC,World Kinect Corp,41600,25.8475,Brown,Flyers Energy LLC,Neutral,Dwelle Family Foundation Inc,725,18-10-2021,30.33,08-11-2021,26.25,1609.44,-1.51,Completed
27-10-2021,2020,PSX,Phillips 66,12745003.08,461.6064,Brown,Phillips 66 Partners LP,Neutral,,2333.84,15-10-2021,71.11,08-11-2021,68.28,27610.11,0.01,Completed
27-10-2021,2020,LBRT,Liberty Energy Inc,16570.24,7.7433,Green,PropX/Denver,Neutral,,90,15-10-2021,14.76,08-11-2021,11.63,2139.95,1.57,Completed
26-10-2021,2020,WFG,West Fraser Timber Co Ltd,727714,119.3394,Brown,Oriented strand board mill/South Carolina,Neutral,,280,15-10-2021,87.44,05-11-2021,80.07,6097.85,-0.71,Completed
22-10-2021,2020,XIFR,XPLR Infrastructure LP,48471.85,8.1303,Green,Portfolio of 2520 MW renewables projects,Green,NextEra Energy Inc,849,11-10-2021,58.8,01-11-2021,66.96,5961.9,-0.56,Completed
07-10-2021,2020,HRI,Herc Holdings Inc,102469,22.3798,Brown,Rapid Equipment Rental Ltd,Neutral,,,24-09-2021,150.34,18-10-2021,174.8,4578.64,-0.58,Completed
06-10-2021,2020,SWX,Southwest Gas Holdings Inc,360785.4,83.7968,Brown,Dominion Energy Questar Pipeline LLC,Neutral,Dominion Energy Inc,1975,24-09-2021,59.44,18-10-2021,61.02,4305.48,0.77,Completed
06-10-2021,2020,ARES,Ares Management Corp,714.72,0.051,Green,Apex Clean Energy Inc,Green,,,24-09-2021,69.97,18-10-2021,69.31,14000.42,0.71,Completed
01-10-2021,2020,CVX,Chevron Corp,28078295.01,175.5926,Brown,American Natural Gas LLC,Brown,Mercuria Energy Trading SA,,20-09-2021,82.51,11-10-2021,93.26,159905.92,1.26,Completed
20-09-2021,2020,MTRN,Materion Corp,39393.07,27.6853,Brown,HCS-Electronic Materials,Neutral,HC Starck Inc,380,09-09-2021,69.72,30-09-2021,67.43,1422.89,-2.88,Completed
17-09-2021,2020,PHX,PHX Minerals Inc,9445.63,93.1338,Brown,"Certain mineral/East Texas,Royalty interests/Louisiana",Neutral,,0.73,03-09-2021,2.25,27-09-2021,2.78,101.42,0.68,Completed
07-09-2021,2020,ENB,Enbridge Inc,6852670,96.0009,Brown,Moda Midstream Operating LLC,Neutral,Encap Flatrock Midstream,3000,27-08-2021,32.33,17-09-2021,32.5,71381.33,0.27,Completed
07-09-2021,2020,RPM,RPM International Inc,65498.86,6.8109,Green,Chemical manufacturing plant/Corsicana,Neutral,ChampionX Corp,,27-08-2021,78.38,17-09-2021,73.79,9616.8,2.74,Completed
02-09-2021,2020,PWR,Quanta Services Inc,233082.18,13.8802,Brown,Blattner Holding Co,Neutral,,2700,20-08-2021,95.68,13-09-2021,114.42,16792.42,1.63,Completed
18-08-2021,2020,BLK,BlackRock Inc,4090,0.0319,Green,National Renewable Solutions LLC,Green,,,06-08-2021,819.73,30-08-2021,867.29,128092.48,1.2,Completed
17-08-2021,2020,WTTR,Select Water Solutions Inc,33176.65,63.5885,Brown,Agua Libre Midstream LLC,Neutral,Basic Energy Services Inc,19.54,06-08-2021,5.03,27-08-2021,5.3,521.74,-0.12,Completed
17-08-2021,2020,BRY,Berry Corp,805281.71,3082.418,Brown,C&J Well Services Inc,Neutral,Basic Energy Services Inc,,06-08-2021,3.52,27-08-2021,3.89,261.25,4.6,Completed
11-08-2021,2020,EXE,Expand Energy Corp,628218.33,57.4051,Brown,Vine Energy Inc,Neutral,,1459.77,30-07-2021,44.64,23-08-2021,43.44,10943.59,-1.43,Completed
10-08-2021,2020,CLSK,Cleanspark Inc,85.72,0.02,Green,87000 sq ft data center/Norcross,Neutral,,,30-07-2021,13.5,20-08-2021,10.79,4282.32,8.88,Completed
03-08-2021,2020,DINO,HF Sinclair Corp,5479000,1085.9741,Brown,"Marketing & diesel business,2 refineries/Rocky Mountain",Neutral,Sinclair Cos/The,1783.29,23-07-2021,25.46,13-08-2021,27.53,5045.24,-1.28,Completed
02-08-2021,2020,SUN,Sunoco LP,75445.22,19.0224,Brown,Portfolio of 8 terminal locations/NuStar Energy LP,Neutral,NuStar Energy LP,250,22-07-2021,28.02,12-08-2021,28.93,3966.13,0.72,Completed
27-07-2021,2020,SHEL,Shell PLC,31526463.37,307.0649,Brown,Inspire Energy Capital LLC,Neutral,,,16-07-2021,33.38,06-08-2021,35.97,102670.37,1.09,Completed
23-07-2021,2020,DUK,Duke Energy Corp,74985884.11,1073.7258,Brown,CNG fueling station/South Carolina,Neutral,Spire Inc,,12-07-2021,87.41,02-08-2021,91.42,69837.09,0.65,Completed
21-07-2021,2020,MSFT,Microsoft Corp,118100,0.0583,Green,CloudKnox Security Inc,Neutral,"Dell Ventures LP (Fund: Dell Strategic Innovation Venture Fund),Unknown Seller,Foundation Capital LLC (Fund: Foundation Capital VIII LP),Sorenson Capital (Fund: Sorenson Ventures LP),NextEra Energy Inc (Fund: Clearsky Security Fund I LLC),Wipro Ventures Ltd (Fund: Wipro Venture Capital Fund I...",,09-07-2021,269.36,02-08-2021,276.03,2027361.43,4.52,Completed
16-07-2021,2020,KMI,Kinder Morgan Inc,15600000,498.3842,Brown,Kinetrex Energy,Neutral,Parallel49 Equity,310,02-07-2021,14.83,26-07-2021,14.24,31301.15,0.93,Completed
14-07-2021,2020,ORA,Ormat Technologies Inc,184348.31,44.5238,Brown,TG Geothermal Portfolio LLC,Green,,171,02-07-2021,68.18,26-07-2021,66.94,4140.44,0.72,Completed
12-07-2021,2020,WTTR,Select Water Solutions Inc,33176.65,58.899,Brown,Complete Energy Services LLC,Neutral,Superior Energy Services Inc,36.44,01-07-2021,5.9,22-07-2021,5.33,563.28,-0.12,Completed
09-07-2021,2020,KMI,Kinder Morgan Inc,15600000,470.889,Brown,Twin Tier Pipeline LLC,Neutral,"Consolidated Edison Inc,Crestwood Equity Partners LP",30,28-06-2021,14.35,19-07-2021,13.72,33128.83,0.93,Completed
07-07-2021,2020,GEOS,Geospace Technologies Corp,885.57,8.2119,Green,Aquana LLC,Neutral,,1.4,25-06-2021,8.05,19-07-2021,8,107.84,5.24,Completed
06-07-2021,2020,PTEN,Patterson-UTI Energy Inc,134439.39,40.4563,Brown,Pioneer Energy Services Corp,Neutral,,425.8,25-06-2021,9.64,16-07-2021,7.64,3323.08,-0.88,Completed
01-07-2021,2020,CDZI,Cadiz Inc,6.84,0.0063,Green,220 mile Northern Pipeline,Neutral,Kinder Morgan Inc,19,18-06-2021,12.6,12-07-2021,13.7,1084.91,-6.04,Completed
01-07-2021,2020,EPD,Enterprise Products Partners LP,980.4,0.0244,Green,Ethylene Storage Business/NOVA Chemicals Corp,Neutral,NOVA Chemicals Corp,,18-06-2021,18.19,12-07-2021,18.66,40254.71,1.89,Completed
30-06-2021,2020,CE,Celanese Corp,1139252.19,74.1466,Brown,Santoprene synthetic rubber business/ExxonMobil,Neutral,Exxon Mobil Corp,1150,18-06-2021,135.78,12-07-2021,143.11,15364.86,-8.37,Completed
08-06-2021,2020,RF,Regions Financial Corp,291136,16.6171,Brown,EnerBank USA,Neutral,CMS Energy Corp,960,28-05-2021,20.14,18-06-2021,16.74,17520.31,0.34,Completed
08-06-2021,2020,APO,Apollo Global Management Inc,211,0.007,Green,Total Operations & Production Services LLC,Neutral,Black Bay Energy Capital LLC,,28-05-2021,52.84,18-06-2021,52.86,30236.18,0.39,Completed
01-06-2021,2020,KMI,Kinder Morgan Inc,15600000,474.9593,Brown,Stagecoach Gas Services LLC,Brown,"Consolidated Edison Inc,Crestwood Equity Partners LP",1225,21-05-2021,14.95,11-06-2021,15.29,32844.92,0.93,Completed
27-05-2021,2020,MS,Morgan Stanley,17170.7,0.1342,Green,Produced water infrastructure assets/Hibernia Energy III LLC,Neutral,Hibernia Energy LLC,,14-05-2021,76.76,07-06-2021,81.91,127987.74,0.31,Completed
27-05-2021,2020,MS,Morgan Stanley,17170.7,0.1342,Green,Produced water infrastructure assets,Neutral,Hibernia Energy LLC,,14-05-2021,76.76,07-06-2021,81.91,127987.74,0.31,Completed
24-05-2021,2020,CTRA,Coterra Energy Inc,302393.9,29.4844,Brown,Cimarex Energy Co,Neutral,,8815.27,13-05-2021,13.9,03-06-2021,13.58,10256.05,1.37,Completed
17-05-2021,2020,SPRU,Spruce Power Holding Corp,242.98,0.2621,Green,World Energy Efficiency Services LLC,Neutral,,15,06-05-2021,48.4,27-05-2021,55.92,927.15,-6.63,Completed
12-05-2021,2020,D,Dominion Energy Inc,14575889.35,264.4478,Brown,Birdseye Renewable Energy LLC,Green,BRE Holdings LLC,28,30-04-2021,67,24-05-2021,64.65,55118.21,-0.07,Completed
12-05-2021,2020,DTE,DTE Energy Co,20962000.49,969.4729,Brown,Isabella Wind I and II projects/Isabella County,Green,Greenlight Energy Resources Inc,,30-04-2021,105.4,24-05-2021,107.02,21622.06,0.6,Completed
10-05-2021,2020,CIVI,Civitas Resources Inc,1200551,442.1984,Brown,Extraction Oil & Gas Inc,Brown,,1382.69,29-04-2021,24.9,20-05-2021,31.26,2714.96,1.01,Completed
06-05-2021,2020,EQT,EQT Corp,225875.12,21.667,Brown,"Eqt Amd LLC,EQT ARO LLC",Neutral,,2925,23-04-2021,16.8,17-05-2021,21.92,10424.83,1.05,Completed
06-05-2021,2020,AMSC,American Superconductor Corp,51772.28,90.1736,Brown,Neeltran Inc,Neutral,,8.8,23-04-2021,17.13,17-05-2021,13.99,574.14,0.79,Completed
03-05-2021,2020,CHRD,Chord Energy Corp,537377.29,174.6489,Brown,Williston Basin assets/Diamondback Energy Inc,Neutral,Diamondback Energy Inc,745,22-04-2021,47.73,13-05-2021,48.9,3076.9,1.62,Completed
22-04-2021,2020,AEP,American Electric Power Co Inc,25012316.5,619.0294,Brown,100 MW Dry Lake Solar Project,Green,,114,09-04-2021,74,03-05-2021,76.41,40405.7,0.64,Completed
19-04-2021,2020,XIFR,XPLR Infrastructure LP,48471.85,9.2538,Brown,Portfolio of 4 operating wind assets/US,Green,Brookfield Renewable Partners LP,733,08-04-2021,55.94,29-04-2021,56.86,5238.04,-0.56,Completed
14-04-2021,2020,EOSE,Eos Energy Enterprises Inc,6.28,0.0018,Green,HI-Power LLC,Neutral,Holtec International Corp,0.03,01-04-2021,18.14,26-04-2021,14.33,3399.43,-158.12,Completed
14-04-2021,2020,EOSE,Eos Energy Enterprises Inc,6.28,0.0018,Green,HI-Power LLC,Neutral,,,01-04-2021,18.14,26-04-2021,14.33,3399.43,-158.12,Completed
05-04-2021,2020,DNOW,DNOW Inc,24600,22.5982,Brown,Flex Flow Services LLC,Neutral,GR Energy Services LLC,90,25-03-2021,10,15-04-2021,9.68,1088.58,1.42,Completed
18-03-2021,2020,PPL,PPL Corp,4667507.7,246.3648,Brown,Narragansett Electric Co/The,Neutral,National Grid PLC,3770,05-03-2021,24.06,29-03-2021,25.12,18945.51,0.43,Completed
09-03-2021,2020,EFX,Equifax Inc,6751.47,0.3199,Green,HireTechs.com,Neutral,Green Day Technologies Inc,,26-02-2021,157.52,19-03-2021,169.49,21107.28,1.48,Completed
05-03-2021,2020,CVX,Chevron Corp,28078295.01,172.4205,Brown,Noble Midstream Partners LP,Neutral,,454.5,22-02-2021,83.49,15-03-2021,93.56,162847.78,1.26,Completed
24-02-2021,2020,RNW,ReNew Energy Global PLC,1001921.24,349.9783,Brown,ReNew Power Pvt Ltd,Neutral,"Piramal Enterprises Ltd,Canada Pension Plan Investment Board,Abu Dhabi Investment Authority,Private Investor,GEF Management Corp (Fund: South Asia Clean Energy Fund),Goldman Sachs Group Inc/The (Fund: West Street Energy Partners LP),Asian Development Bank (Fund: Asia Climate Partners LP),JERA...",1200,12-02-2021,11.66,08-03-2021,10.42,2862.81,-0.4,Completed
24-02-2021,2020,CLSK,Cleanspark Inc,85.72,0.011,Green,Solar Watt Solutions Inc,Green,,18.06,12-02-2021,28.23,08-03-2021,21.21,7786.81,8.88,Completed
22-02-2021,2020,BIPC,Brookfield Infrastructure Corp,299516.82,71.0272,Brown,Inter Pipeline Ltd,Neutral,,10949.35,11-02-2021,35.27,04-03-2021,39.14,4216.93,-4.05,Completed
22-02-2021,2020,ADN,Advent Technologies Holdings I,1226.17,1.1185,Green,UltraCell LLC,Neutral,Bren-Tronics Inc,,11-02-2021,460.5,04-03-2021,406.2,1096.26,-252.72,Completed
18-02-2021,2020,VRN,Veren Inc,1126052.5,569.0726,Brown,Kaybob Duvernay assets/Shell Canada Energy,Neutral,Shell PLC,854.19,05-02-2021,2.85,01-03-2021,3.31,1978.75,1.25,Completed
17-02-2021,2020,ET,Energy Transfer LP,14927.27,0.867,Green,Enable Midstream Partners LP,Neutral,,6792.52,05-02-2021,4.89,01-03-2021,5.91,17216.73,0.86,Completed
17-02-2021,2020,NOVA,Sunnova Energy International Inc,2064.82,0.3329,Green,SunStreet Energy Group LLC,Neutral,Lennar Corp,162.73,05-02-2021,49.45,01-03-2021,47.92,6202.67,-0.95,Completed
04-02-2021,2020,NOG,Northern Oil and Gas Inc,155885.13,170.7937,Brown,Certain non operated natural gas assets,Brown,Reliance Industries Ltd,120.9,22-01-2021,9.12,16-02-2021,10.61,912.71,1.28,Completed
02-02-2021,2020,OPTT,Ocean Power Technologies Inc,22,0.0338,Green,3dent Technology LLC,Neutral,,,22-01-2021,5.6,12-02-2021,5.2,651.33,-14.52,Completed
26-01-2021,2020,ENPH,Enphase Energy Inc,26385.26,1.0632,Green,Sofdesk Inc,Neutral,Wave Media Group LLC,,15-01-2021,190.59,05-02-2021,193.2,24817.12,1.91,Completed
13-01-2021,2020,NFE,New Fortress Energy Inc,967889,71.0901,Brown,Hygo Energy Transition Ltd,Neutral,"Golar LNG Ltd,Stonepeak Partners LP (Fund: Stonepeak Infrastructure Fund II LP)",2289.13,31-12-2020,47.33,25-01-2021,39.15,13614.96,0.08,Completed
13-01-2021,2020,NFE,New Fortress Energy Inc,967889,71.0901,Brown,CH4 Energia Ltda,Neutral,"Vibra Energia SA,Camacari Muricy II SA,Pecem Energia SA,CCETC Brasil Holding SA",9.43,31-12-2020,47.33,25-01-2021,39.15,13614.96,0.08,Completed
23-12-2020,2019,AEE,Ameren Corp,24413650.5,1343.8112,Brown,400 MW project/Missouri,Neutral,,,11-12-2020,68.87,04-01-2021,67.67,18167.47,0.46,Completed
23-12-2020,2019,BLK,BlackRock Inc,6386,0.0646,Green,945 MW natural gas fired power plant/Heard County,Brown,TCT Generation Holdings LLC,,11-12-2020,629.27,04-01-2021,643.41,98882.79,1.2,Completed
21-12-2020,2019,FANG,Diamondback Energy Inc,1389998.61,128.1235,Brown,QEP Resources Inc,Neutral,,2183.83,10-12-2020,41.58,31-12-2020,40.3,10848.9,1.6,Completed
21-12-2020,2019,FANG,Diamondback Energy Inc,1389998.61,128.1235,Brown,Guidon Operating LLC,Neutral,,858.26,10-12-2020,41.58,31-12-2020,40.3,10848.9,1.6,Completed
21-12-2020,2019,ENB,Enbridge Inc,7619166.55,139.0444,Brown,Crude oil terminalling segment,Brown,Blueknight Energy Partners LP,132,10-12-2020,26.62,31-12-2020,24.88,54796.63,0.27,Completed
16-12-2020,2019,ORA,Ormat Technologies Inc,380143.75,79.7907,Brown,Shovel Ready Project/Texas,Neutral,Consolidated Edison Inc,,04-12-2020,74.46,28-12-2020,85.38,4764.26,0.72,Completed
15-12-2020,2019,TRP,TC Energy Corp,14427861,398.5523,Brown,TC PipeLines LP,Neutral,,3771.13,04-12-2020,35.75,28-12-2020,31.69,36200.67,0.84,Completed
15-12-2020,2019,GTLS,Chart Industries Inc,43255.52,8.3447,Green,Sustainable Energy Solutions Inc,Green,,20,04-12-2020,108.74,28-12-2020,118.74,5183.57,0.73,Completed
14-12-2020,2019,MUSA,Murphy USA Inc,108593.08,43.4183,Brown,Quick Chek Corp,Neutral,,645,03-12-2020,122.09,24-12-2020,127.29,2501.09,3.14,Completed
08-12-2020,2019,LGO,Largo Inc,6374.78,8.5718,Green,Certain assets/Vionx Energy Corp,Neutral,Vionx Energy Corp,,27-11-2020,8.4,18-12-2020,11.6,743.69,-2.81,Completed
04-12-2020,2019,STEM,Stem Inc,1270,0.4587,Green,Rollins Road Acquisition Co,Neutral,"Exelon Corp,TotalEnergies SE,Mitsui & Co Ltd,RWE AG,Iberdrola SA,Temasek Holdings Pte Ltd,Ontario Teachers' Pension Plan Board,EFW Partners LLC,Angeleno Group LLC (Fund: Angeleno Investors III LP),Mithril Capital Management LLC (Fund: Mithril LP),GE Ventures,Activate Capital Ltd,Magnesium Cap...",608,23-11-2020,10,14-12-2020,17.2,2768.45,-27.57,Completed
04-12-2020,2019,PEG,Public Service Enterprise Group Inc,13378211.19,537.9546,Brown,Ocean Wind Project/NJ,Green,Orsted AS,,23-11-2020,50.56,14-12-2020,49.26,24868.66,0.52,Completed
